taxid,abbreviation,organism_name,genome,introns,bp_CDS,intron_density
1240240,Aalg,Anncaliia algerae PRA109,Anncaliia_algerae_pra109.Annc_alge_PRA109_V4,0,62121,0
1245528,Cmal,Candida maltosa Xu316,Candida_maltosa_xu316.Cmaltosa_v01,17,953372,0.0178314446
1245769,Llan,Lachancea lanzarotensis,Lachancea_lanzarotensis.LALA0,4,932875,0.004287819912
1246595,Huva,Hanseniaspora uvarum DSM 2768,Hanseniaspora_uvarum_dsm_2768.Huva2.0,0,511686,0
1262450,Opic,Ophiostoma piceae UAMH 11346,Ophiostoma_piceae_uamh_11346.Opiceae_UAMHv01,271,1080635,0.2507784775
1263082,Lcor,Lichtheimia corymbifera JMRC:FSU:9682,Lichtheimia_corymbifera_jmrc_fsu_9682.454Minimus,2571,870839,2.952325286
1263415,Epus,Endocarpon pusillum Z07020,Endocarpon_pusillum_z07020.EPUS,387,1043703,0.37079514
1276136,Metgui,Metarhizium guizhouense ARSEF 977,Metarhizium_guizhouense_arsef_977.MGU_1.0,443,998833,0.443517585
1277687,Aflo,Anthracocystis flocculosa PF-1,Anthracocystis_flocculosa_pf_1.Pflocc_1.0,576,789032,0.7300084154
1279043,Ccar,Cladophialophora carrionii CBS 160.54,Cladophialophora_carrionii_cbs_160_54.Clad_carr_CBS_160_54_V1,353,1037652,0.3401911238
1280837,Mmil,Meira miltonrushii,Meira_miltonrushii,90,961714,0.0935829155
1284197,Dhap,Dactylellina haptotyla CBS 200.50,Dactylellina_haptotyla_cbs_200_50.MHA_v2,1245,1043926,1.19261327
1286976,Pmin,Phaeoacremonium minimum UCRPA7,Phaeoacremonium_minimum_ucrpa7.UCRPA7V03,490,885293,0.5534890708
1287680,Npar,Neofusicoccum parvum UCRNP2,Neofusicoccum_parvum_ucrnp2.UCRNP2V3,647,873878,0.7403779475
1287681,Elat,Eutypa lata UCREL1,Eutypa_lata_ucrel1.UCREL1V03,549,890578,0.6164535841
1299270,Wich,Wallemia ichthyophaga EXF-994,Wallemia_ichthyophaga_exf_994.Wallemia_ichthyophaga_version_1_0,1114,897930,1.24063123
1305764,Phub,Pseudozyma hubeiensis SY62,Pseudozyma_hubeiensis_sy62.ASM40351v1,54,1142764,0.04725385119
1306850,Tspe,Termitomyces sp. J132,Termitomyces_sp_j132.TerJ1321.0,3200,946831,3.379695004
1314674,Ctor,Cylindrobasidium torrendii FP15055 ss-10,Cylindrobasidium_torrendii_fp15055_ss_10.Cylto1,2687,966670,2.779645587
1328760,Xhev,Xylona heveae TC161,Xylona_heveae_tc161.Xylona_heveae_TC161_v1_0,877,1017669,0.8617733271
1344414,Tree,Trichoderma reesei RUT C-30,Trichoderma_reesei_rut_c_30.TrireRUTC30_1,504,1000234,0.5038820916
1344416,Gpro,Gonapodya prolifera JEL478,Gonapodya_prolifera_jel478.Ganpr1,3418,781213,4.375247212
1355161,Zbai,Zygosaccharomyces bailii ISA1307,Zygosaccharomyces_bailii_isa1307.Z_bailii_ISA1307_version_3,1,935253,0.001069229396
1356009,Bspe,Byssochlamys spectabilis No. 5,Byssochlamys_spectabilis_no_5.PVAR5_assembly01,637,1060579,0.6006153243
1358809,Slop,Spraguea lophii 42_110,Spraguea_lophii_42_110.Sprlop1.0,0,147222,0
1365824,Kbra,Kalmanozyma brasiliensis GHG001,Kalmanozyma_brasiliensis_ghg001.PSEUBRA1,77,1063660,0.07239155369
1382522,Kcap,Kuraishia capsulata CBS 1993,Kuraishia_capsulata_cbs_1993.AUH_PRJEB4427_v1,25,938257,0.02664515159
1388766,Arub,Aspergillus ruber CBS 135680,Aspergillus_ruber_cbs_135680.Eurhe1,544,1011623,0.5377497348
1391700,Maph,Moesziomyces aphidis DSM 70725,Moesziomyces_aphidis_dsm_70725.PseuAph1.0,89,993747,0.0895600188
1391915,Ssch,Sporothrix schenckii ATCC 58251,Sporothrix_schenckii_atcc_58251.Spor_sche_ATCC58251_V1,298,1085681,0.2744820993
1398154,Sbra,Sporothrix brasiliensis 5110,Sporothrix_brasiliensis_5110.S_brasiliensis_5110_v1,281,1067827,0.2631512408
1403190,Apar,Aspergillus parasiticus SU-1,Aspergillus_parasiticus_su_1.ASM95608v1,499,811256,0.6150956048
1408163,Reme,Rasamsonia emersonii CBS 393.64,Rasamsonia_emersonii_cbs_393_64.ASM96859v1,620,1051982,0.5893636963
1432307,Sbor,Sclerotinia borealis F-4128,Sclerotinia_borealis_f_4157.SBOR_1,525,1050648,0.4996916189
1442369,Rmac,Rhinocladiella mackenziei CBS 650.93,Rhinocladiella_mackenziei_cbs_650_93.Rhin_mack_CBS_650_93_V1,345,1041437,0.3312730391
1509407,Anom,Aspergillus nomius NRRL 13137,Aspergillus_nomius_nrrl_13137.ASM120477v1,653,1040337,0.6276812225
1531966,Them,Torrubiella hemipterigena,Torrubiella_hemipterigena.Allpaths-LG,366,1013532,0.3611134133
1664694,Patt,Phialophora attae,Phialophora_attae.ASM129925v1,366,984120,0.3719058651
1882483,Tcyp,Testicularia cyperi,Testicularia_cyperi,124,1052547,0.117809466
